id,name,image,infopic,role,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,created_at,updated_at
11,Velero,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_05.jpg,Naufragio | Test Texturas,others,,,,,2017-03-28 03:50:34.040462,2017-03-30 15:53:05.553301
14,Piraña Berebere,https://bitacoradelmotoneto.files.wordpress.com/2017/03/productos_02.jpg,Piraña Berebere | Set Completo,products,,,,,2017-03-30 04:43:54.953865,2017-03-30 16:06:03.200755
10,Piraña Berebere,https://bitacoradelmotoneto.files.wordpress.com/2017/03/productos_01.jpg,Piraña Berebere | Lámpara,products,,,,,2017-03-28 03:50:34.037204,2017-05-24 02:24:42.793373
50,Velero,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_06.jpg,Naufragio | Test Texturas,others,,,,,2017-03-30 15:37:31.319054,2017-03-30 15:53:18.338488
33,San Juán de la Vega,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_01.jpg,Apartamento Las Vegas | Salón,spaces,,,,,2017-03-30 04:53:05.158195,2017-03-30 15:59:58.201838
49,Velero,https://bitacoradelmotoneto.files.wordpress.com/2017/03/otros_04.jpg,Naufragio | Test Texturas,others,,,,,2017-03-30 15:36:41.003903,2017-03-30 15:52:59.226916
35,San Juán de la Vega,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_03.jpg,Apartamento Las Vegas | Vista Superior,spaces,,,,,2017-03-30 04:55:21.347058,2017-03-30 16:00:44.608008
36,Casa Containers,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_04.jpg,Casa Containers | Baño,spaces,,,,,2017-03-30 04:55:35.783585,2017-03-30 16:01:08.620653
37,Casa Containers,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_05.jpg,Casa Containers | Vista Superior,spaces,,,,,2017-03-30 04:55:56.731059,2017-03-30 16:01:30.026836
41,Casa Rionegro,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_09.jpg,Casa Rionegro | Salón,spaces,,,,,2017-03-30 04:56:48.53291,2017-03-30 16:02:23.80291
42,Casa Rionegro,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_10.jpg,Casa Rionegro | Cocina,spaces,,,,,2017-03-30 04:57:02.099466,2017-03-30 16:02:35.898023
43,Plano Superior,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_11.jpg,Bosques de Zuñiga | Vista Superior,spaces,,,,,2017-03-30 04:57:16.217625,2017-03-30 16:03:09.914931
44,Plano Superior Perspectiva,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_12.jpg,Bosques de Zuñiga | Vista Superior,spaces,,,,,2017-03-30 04:57:27.681415,2017-03-30 16:03:27.488461
46,Apto Las Vegas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_14.jpg,Apartamento San Juan de la Vega | Cuarto,spaces,,,,,2017-03-30 04:57:52.796075,2017-03-30 16:04:09.329455
47,Diseño Puerta,https://bitacoradelmotoneto.files.wordpress.com/2017/03/espacios_15.jpg,Cocina | Diseño Puerta,spaces,,,,,2017-03-30 04:58:05.976663,2017-03-30 16:04:25.611038
