id,step,orden,estilo,tuto_link,video_link,image_link,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,proyecto_id,created_at,updated_at
22,DROPLET IN DIGITAL OCEAN,0,go-to,,,undefined,,,,,2,2018-01-04 10:30:07.93214,2018-01-04 10:30:07.93214
23,https://www.phusionpassenger.com/library/walkthroughs/deploy/ruby/digital_ocean/nginx/oss/launch_server.html,0,link-tuto,,,undefined,,,,,2,2018-01-04 10:30:27.422969,2018-01-04 10:30:27.422969
24,http://www.thegreatcodeadventure.com/deploying-rails-to-digitalocean-the-hard-way/,0,link-tuto,,,undefined,,,,,2,2018-01-04 10:31:10.291215,2018-01-04 10:31:10.291215
25,https://www.digitalocean.com/community/tutorials/how-to-deploy-a-rails-app-with-passenger-and-nginx-on-ubuntu-14-04,0,link-tuto,,,undefined,,,,,2,2018-01-04 10:31:42.437032,2018-01-04 10:31:42.437032
26,"- create droplet

- ubuntu

- new york o amsterdam

- seleccionar private networking

- new ssh",0,paragraph,,,undefined,,,,,2,2018-01-04 10:33:32.003951,2018-01-04 10:33:32.003951
28,cat ~/.ssh/id_rsa.pub,0,terminal,,,undefined,,,,,2,2018-01-04 10:34:21.106931,2018-01-04 10:34:21.106931
29,"- copy ssh.pub

- choose hostname

- create

- copy ip address",0,paragraph,,,undefined,,,,,2,2018-01-04 10:35:05.876232,2018-01-04 10:35:05.876232
31,--> How To Connect To Your Droplet with SSH <--,0,go-to,,,undefined,,,,,2,2018-01-04 10:36:41.123527,2018-01-04 10:36:41.123527
32,ssh root@(paste ip address),0,terminal,,,undefined,,,,,2,2018-01-04 10:37:43.585532,2018-01-04 10:37:43.585532
33,--> ADDING SUDO USER (Initial Server Setup with Ubuntu) <--,0,go-to,,,undefined,,,,,2,2018-01-04 10:39:31.212737,2018-01-04 10:39:31.212737
34,https://www.digitalocean.com/community/tutorials/how-to-use-ssh-keys-with-digitalocean-droplets,0,link-tuto,,,undefined,,,,,2,2018-01-04 10:40:23.59123,2018-01-04 10:40:23.59123
35,https://www.digitalocean.com/community/tutorials/how-to-connect-to-your-droplet-with-ssh,0,link-tuto,,,undefined,,,,,2,2018-01-04 11:27:17.644151,2018-01-04 11:27:17.644151
36,https://www.digitalocean.com/community/tutorials/initial-server-setup-with-ubuntu-14-04,0,link-tuto,,,undefined,,,,,2,2018-01-04 11:27:44.751606,2018-01-04 11:27:44.751606
38,ssh root@174.138.76.230,0,terminal,,,undefined,,,,,2,2018-01-04 11:31:31.11599,2018-01-04 11:31:31.11599
39,yes,0,paragraph,,,undefined,,,,,2,2018-01-04 11:32:25.891093,2018-01-04 11:32:25.891093
40,adduser user_name,0,terminal,,,undefined,,,,,2,2018-01-04 11:32:59.367962,2018-01-04 11:32:59.367962
41,"password

password",0,paragraph,,,undefined,,,,,2,2018-01-04 11:34:38.613199,2018-01-04 11:34:38.613199
42,press enter to all questions ,0,paragraph,,,undefined,,,,,2,2018-01-04 11:34:58.087273,2018-01-04 11:35:13.645057
43,Add the new user to the list of sudo priviledges ,0,go-to,,,undefined,,,,,2,2018-01-04 11:38:34.287926,2018-01-04 11:38:34.287926
44,gpasswd -a user_name sudo,0,terminal,,,undefined,,,,,2,2018-01-04 11:40:36.178894,2018-01-04 11:40:36.178894
45,"in another terminal window, take from the pc the ssh key",0,go-to,,,undefined,,,,,2,2018-01-04 11:41:15.168369,2018-01-04 11:41:45.787797
46,cat ~/.ssh/id_rsa.pub,0,terminal,,,undefined,,,,,2,2018-01-04 11:42:00.52852,2018-01-04 11:42:00.52852
47,copy ssh key,0,paragraph,,,undefined,,,,,2,2018-01-04 11:44:49.985186,2018-01-04 11:44:49.985186
48,su - user_name,0,terminal,,,undefined,,,,,2,2018-01-04 11:45:19.955798,2018-01-04 11:45:19.955798
49,mkdir .ssh,0,terminal,,,undefined,,,,,2,2018-01-04 11:47:32.227562,2018-01-04 11:47:32.227562
50,chmod 700 .ssh,0,terminal,,,undefined,,,,,2,2018-01-04 11:48:04.204763,2018-01-04 11:48:04.204763
51,nano .ssh/authorized_keys,0,terminal,,,undefined,,,,,2,2018-01-04 11:52:04.696207,2018-01-04 11:52:04.696207
52,"paste ssh key

ctrl + x, y, enter",0,paragraph,,,undefined,,,,,2,2018-01-04 11:52:47.825871,2018-01-04 11:52:47.825871
53,chmod 600 .ssh/authorized_keys,0,terminal,,,undefined,,,,,2,2018-01-04 11:53:11.135977,2018-01-04 11:53:11.135977
54,exit,0,paragraph,,,undefined,,,,,2,2018-01-04 11:54:11.035238,2018-01-04 11:54:11.035238
55,"lo que sigue es para impedir que se puedan hacer ssh logins como root, solo como usuario sudo",0,go-to,,,undefined,,,,,2,2018-01-04 11:54:59.778217,2018-01-04 11:54:59.778217
56,nano /etc/ssh/sshd_config,0,terminal,,,undefined,,,,,2,2018-01-04 11:56:21.867816,2018-01-04 11:56:21.867816
57,"look for: PermitRootLogin yes

change it for: PermitRootLogin no

ctrl + x, y, enter",0,paragraph,,,undefined,,,,,2,2018-01-04 11:56:57.923403,2018-01-04 11:56:57.923403
58,service ssh restart,0,terminal,,,undefined,,,,,2,2018-01-04 11:57:24.387745,2018-01-04 11:57:24.387745
