id,pro_content,pro_style,pro_order,type_of_issue,paso_id,created_at,updated_at
12,"Cuando esta listo me aparecera un root@lucio(o lo que sea)
si quiero volver a acceder a el en mi terminal:

ssh root@(ip de ocean)",comentario,0,comment,32,2018-01-04 10:38:14.251642,2018-01-04 10:38:14.251642
13,Agregar un usuario,comentario,0,comment,40,2018-01-04 11:33:24.849353,2018-01-04 11:33:24.849353
14,adduser imagenesuser,ejemplo,0,comment,40,2018-01-04 11:34:01.379802,2018-01-04 11:34:01.379802
15,if you want to answer them you can do it too!,comment,0,comment,42,2018-01-04 11:35:39.18898,2018-01-04 11:35:39.18898
16,"the sudo command has admin privileges, or better, it is a super user with root privileges ",comentario,0,comment,43,2018-01-04 11:40:05.384327,2018-01-04 11:40:05.384327
17,gpasswd -a imagenesuser sudo,ejemplo,0,comment,44,2018-01-04 11:40:46.163185,2018-01-04 11:40:46.163185
20,crear una carpeta para guardar la ssh key,comentario,0,comment,49,2018-01-04 11:47:49.246014,2018-01-04 11:47:49.246014
21,"chmod = change mode; son los permisos de usuario. 600 = usuario puede leer y escribir. 700 = usuario puede leer, escribir y ejecutar",comentario,0,comment,50,2018-01-04 11:48:25.491169,2018-01-04 11:48:25.491169
22,se le da al usuario el permiso 700 al archivo .ssh,comentario,0,comment,50,2018-01-04 11:48:41.13531,2018-01-04 11:48:41.13531
18,"el comando ""su"" sirve para cambiar de usuario sudo, si ""su"" esta solo, el computador lo tomara como root",comentario,0,comment,48,2018-01-04 11:45:59.216206,2018-01-04 11:49:11.484271
19,usar su para cambiar al usuario root por el recién creado,comentario,0,comment,48,2018-01-04 11:46:32.675265,2018-01-04 11:49:56.179587
23,su - imagenesuser,ejemplo,0,comment,48,2018-01-04 11:50:04.749185,2018-01-04 11:50:04.749185
24,se abre una nueva carpeta authorized_keys  en .ssh y se pega alli la key publica,comentario,0,comment,51,2018-01-04 11:52:31.053284,2018-01-04 11:52:31.053284
25,se le da al usuario el permiso 600 para la subcarpeta: authorized_keys,comentario,0,comment,53,2018-01-04 11:53:57.315695,2018-01-04 11:53:57.315695
26,se abre la carpeta de configuraciones de sshd y se niega el root login,comentario,0,comment,56,2018-01-04 11:56:46.492597,2018-01-04 11:56:46.492597
27,ssh imagenesuser@138.197.102.33,ejemplo,0,comment,60,2018-01-04 11:59:00.811761,2018-01-04 11:59:00.811761
28,Hello World,comentario,0,comment,64,2018-01-05 11:02:08.943554,2018-01-05 11:02:08.943554
33,Hens: 30,comentario,0,comment,66,2018-01-05 11:08:37.172379,2018-01-05 11:08:37.172379
34,"Octothorpe ""#{...}"" is the way of embedding variables inside a string ",comment,0,comment,66,2018-01-05 11:10:18.783478,2018-01-05 11:10:18.783478
35,"=> 1 2 3 4
=> one two three four
=> true false true false",comment,0,comment,68,2018-01-05 11:13:45.292951,2018-01-05 11:13:45.292951
36,"There's something going on here.
With this weird quote
We'll be able to type as much as we like.
Even 4 lines if we want, or 5, or 6.",comment,0,comment,71,2018-01-05 11:19:45.071675,2018-01-05 11:19:45.071675
37,"Imprime lo que este entre comillas ("""") ('') o ("""""") Al terminar pasa a una nueva linea",comentario,0,comment,64,2018-01-05 11:29:10.653512,2018-01-05 11:29:10.653512
38,"puts ""Che""
puts ""ese""

=> Che
=> ese",comment,0,comment,64,2018-01-05 11:29:42.815377,2018-01-05 11:29:42.815377
40,"print ""Che""
print ""ese""

=> Cheese",comment,0,comment,65,2018-01-05 11:31:22.515084,2018-01-05 11:31:22.515084
39,"Imprime lo que este entre comillas ("""") ('') o ("""""") Al terminar sigue en la misma linea ",comentario,0,comment,65,2018-01-05 11:30:46.577815,2018-01-05 11:31:33.220643
29,Hello World,comentario,0,comment,65,2018-01-05 11:02:35.076774,2018-01-05 11:32:04.708664
41,Hens: 30,comment,0,comment,77,2018-01-05 11:34:28.590722,2018-01-05 11:34:28.590722
42,"La forma de introducir ""embed"" computaciones, resultados de variables, dentro de strings",comentario,0,comment,76,2018-01-05 11:34:43.131353,2018-01-05 11:34:43.131353
43,"The #{...} literal is the operator used for interpolation inside double-quoted strings the same way that the backticks or $(...) construct would be used in Bash. From a practical point of view, the expression inside the literal is evaluated, and then the entire #{...} expression (including both the operator and the expression it contains) is replaced in situ with the result.",comentario,0,comment,76,2018-01-05 11:37:51.440867,2018-01-05 11:38:15.296966
44,Para embed varias variables,comentario,0,comment,67,2018-01-05 11:40:34.011039,2018-01-05 11:40:34.011039
45,"other example:

template = ""Price of the %{product} is Rs. %{price}.""

puts template % {product:""apple"", price:70.00}

=> Price of the apple is Rs. 70.0.",ejemplo,0,comment,68,2018-01-05 11:44:28.984804,2018-01-05 11:44:56.968858
46,"And
true && false     false
true && true      true
false && true     false
false && false    false",comment,0,comment,78,2018-01-05 11:50:20.439559,2018-01-05 11:50:20.439559
47,"Or
true || false     true
true || true      true
false || true     true
false || false    false",comment,0,comment,79,2018-01-05 11:50:42.99547,2018-01-05 11:50:42.99547
48,"Not
!true     false
!false    true",comment,0,comment,80,2018-01-05 11:51:17.504541,2018-01-05 11:51:17.504541
49,"Not equal
1 != 0    true
1 != 1    false
0 != 1    true
0 != 0    false",comment,0,comment,81,2018-01-05 11:52:03.272289,2018-01-05 11:52:03.272289
50,"equal
1 == 0    false
1 == 1    true
0 == 1    false
0 == 0    true",comment,0,comment,82,2018-01-05 14:34:16.579154,2018-01-05 14:34:16.579154
51,"greater-than-equal
1 >= 0    true
1 >= 1    true
0 >= 1    false
0 >= 0    true",comment,0,comment,83,2018-01-05 14:34:54.385403,2018-01-05 14:34:54.385403
52,"less-than-equal
1 <= 0    false
1 <= 1    true
0 <= 1    true
0 <= 0    true",comment,0,comment,84,2018-01-05 14:35:23.962238,2018-01-05 14:35:23.962238
53,"Not Or
!(true || false)  false
!(true || true)   false
!(false || true)  false
!(false || false) true",comment,0,comment,88,2018-01-05 14:39:22.526208,2018-01-05 14:39:22.526208
54,"Not And
!(true && false)  true
!(true && true)   false
!(false && true)  true
!(false && false) true",comment,0,comment,89,2018-01-05 14:40:43.730605,2018-01-05 14:40:43.730605
