id,name,topic,subtopic,difficulty,orden,user_id,created_at,updated_at
2,Set up Digital Ocean,server,digital_ocean,advanced,0,,2018-01-02 15:53:39.516173,2018-01-04 10:27:19.511804
4,Ruby Vocabulary,ruby,ruby,basic,0,,2018-01-05 11:23:17.947685,2018-01-05 11:24:56.419445
5,command line,ruby,ruby,basic,0,,2018-01-05 11:27:00.451135,2018-01-05 11:27:00.451135
6,logic,ruby,ruby,basic,0,,2018-01-05 11:46:11.416213,2018-01-05 11:46:11.416213
8,Ruby Numbers & Math,ruby,ruby,basic,0,,2018-01-05 15:04:19.724345,2018-01-05 15:22:05.527763
3,"puts, print, comment, interpolate",ruby,ruby,basic,0,,2018-01-03 17:08:31.425251,2018-01-05 15:22:47.636606
9,escape sequences (\n),ruby,ruby,basic,0,,2018-01-05 15:38:39.676291,2018-01-05 15:40:59.644994
10,data types,ruby,ruby,basic,0,,2018-01-05 15:42:28.850927,2018-01-05 15:42:28.850927
11,variables & names,ruby,ruby,basic,0,,2018-01-05 15:54:26.285948,2018-01-05 15:54:26.285948
12,arrays,ruby,ruby,basic,0,,2018-01-06 22:44:59.507259,2018-01-06 22:44:59.507259
15,conditionals,ruby,ruby,basic,0,,2018-01-12 18:48:56.611898,2018-01-12 18:48:56.611898
14,basic model,ruby,rails,basic,0,,2018-01-12 11:16:24.371019,2018-01-12 18:49:15.063361
13,basic controller,ruby,rails,basic,0,,2018-01-12 10:39:10.720763,2018-01-12 18:49:45.76759
16,module,ruby,ruby,basic,0,,2018-01-12 19:29:25.395546,2018-01-12 19:29:25.395546
17,loops,ruby,ruby,basic,0,,2018-01-13 14:47:44.043779,2018-01-13 14:47:44.043779
18,proyect test,ruby,rails,basic,0,,2018-01-15 09:57:24.092975,2018-01-15 09:57:24.092975
19,git basics,git,git,basic,0,,2018-01-15 15:26:32.215676,2018-01-15 15:26:32.215676
20,postgres,sql,postgresql,basic,0,,2018-01-16 15:50:14.66773,2018-01-16 15:50:14.66773
21,collumino order of action,select,none,basic,0,,2018-01-17 10:18:23.972167,2018-01-17 10:18:23.972167
23,pry debbuger,ruby,rails,basic,0,,2018-01-20 15:48:51.727261,2018-01-20 15:48:51.727261
24,active record,ruby,active record,basic,0,,2018-03-06 13:27:25.17484,2018-03-06 13:27:25.17484
